date,lithium,nickel,platinum,cobalt,copper,cobalt_norm,Copper_pink,Platinum_pink,Nickel_pink
2015-12-01,72882.47516935048,8707.785714285714,859.9130434782609,23951.17857142857,4638.833333333333,52803310.05423071,4638.83,859.82,8707.79
2016-01-01,72300.73827338257,8507.2875,854.7619047619048,23134.6,4471.7875,51003062.464652,4471.79,855.25,8507.29
2016-02-01,72545.63401810687,8298.5,920.2380952380952,22275.88095238095,4598.619047619048,49109911.02804619,4598.62,919.35,8298.5
2016-03-01,78006.30430669061,8717.25,967.4347826086956,22982.52380952381,4953.797619047619,50667791.85516477,4953.8,967.73,8717.25
2016-04-01,81775.70621802637,8878.857142857143,994.190476190476,23000.5,4872.738095238095,50707422.57131,4872.74,994.19,8878.86
2016-05-01,103004.9361784896,8660.35,1032.863636363636,23413.625,4694.5375,51618207.2911975,4694.54,1035.86,8660.35
2016-06-01,106175.680628503,8928.352272727274,984.1363636363636,23692.72727272727,4641.965909090909,52233522.47494545,4641.97,984.14,8928.35
2016-07-01,104821.5470943987,10262.85714285714,1086.47619047619,25085.52380952381,4864.904761904762,55304113.22502477,4864.9,1087.5,10262.86
2016-08-01,105275.5106989647,10335.98863636364,1121.739130434783,26296.59090909091,4751.670454545455,57974059.14706819,4751.67,1121.65,10335.99
2016-09-01,104905.3343891721,10191.78409090909,1045.954545454545,26625.0,4722.204545454545,58698077.2575,4722.2,1046.71,10191.78
2016-10-01,111785.5400678893,10259.7380952381,959.1428571428572,28205.66666666667,4731.261904761905,62182850.74551335,4731.26,959.14,10259.74
2016-11-01,116946.2363305109,11128.90909090909,953.2727272727273,29258.40909090909,5450.931818181818,64503750.50703181,5450.93,955.14,11128.91
2016-12-01,115548.9336889213,10972.275,917.5,31589.375,5660.35,69642650.6766625,5660.35,918.38,10972.27
2017-01-01,116016.211055313,9971.464285714286,968.4090909090908,34720.38095238095,5754.559523809524,76545337.22263618,5754.56,971.15,9971.46
2017-02-01,116384.7304306754,10643.3,1007.35,43005.0,5940.9125,94809795.7731,5940.91,1007.63,10643.3
2017-03-01,115996.7948326595,10204.66304347826,962.2608695652174,52765.21739130435,5824.630434782609,116327391.81008697,5824.63,962.87,10204.66
2017-04-01,116089.7759779202,9609.277777777776,961.4,55305.55555555556,5683.902777777778,121927878.78944446,5683.9,960.84,9609.28
2017-05-01,116156.845178383,9155.119047619048,931.7826086956522,54941.94047619048,5599.559523809524,121126244.76050311,5599.56,930.27,9155.12
2017-06-01,117521.6780900759,8931.761363636364,930.7272727272727,57449.45454545455,5719.761363636364,126654366.99757093,5719.76,930.73,8931.76
2017-07-01,118117.0270504819,9491.392857142857,918.3809523809524,58548.90476190476,5985.119047619048,129078239.81432097,5985.12,918.9,9491.39
2017-08-01,119918.1825591873,10889.97727272727,972.4782608695652,58465.13636363636,6485.625,128893562.10865727,6485.63,972.7,10889.98
2017-09-01,121812.6703788118,11215.78571428571,966.1428571428572,60128.5,6577.166666666667,132560651.20667,6577.17,964.1,11215.79
2017-10-01,123644.6015980743,11335.77272727273,921.0,59905.86363636364,6807.602272727273,132069822.04336274,6807.6,921.0,11335.77
2017-11-01,132143.8435163116,11972.0,934.0,62118.04545454545,6826.545454545455,136946848.1192791,6826.55,934.05,11972.0
2017-12-01,138042.4449578921,11495.10526315789,906.8571428571428,72632.05263157895,6833.894736842105,160126266.16860947,6833.89,907.2,11495.11
2018-01-01,141477.9736157397,12864.875,987.891304347826,77293.52272727274,7065.852272727273,170403048.5840296,7065.85,990.12,12864.88
2018-02-01,143975.769873261,13595.875,988.25,80792.6,7006.525,178117193.48861203,7006.52,987.26,13595.88
2018-03-01,143979.278202447,13392.5,953.7272727272727,87614.90476190476,6799.178571428571,193157800.88724098,6799.18,954.57,13392.5
2018-04-01,144462.5660482278,13938.1,924.095238095238,90782.5,6851.5125,200141153.00015,6851.51,924.05,13938.1
2018-05-01,143941.6006324498,14366.4880952381,904.304347826087,90250.0,6825.27380952381,198967191.455,6825.27,904.73,14366.49
2018-06-01,144682.2120577029,15105.65476190476,884.9047619047619,81188.09523809524,6965.857142857143,178989111.23661906,6965.86,884.9,15105.65
2018-07-01,136396.4919756645,13793.86363636364,832.1136363636364,70647.72727272726,6250.75,155751577.59704545,6250.75,832.0,13793.86
2018-08-01,131186.0037557343,13411.35227272727,804.5869565217391,63302.29545454545,6051.045454545455,139557672.45701408,6051.05,804.91,13411.35
2018-09-01,128398.3391524536,12510.35,803.975,62210.325,6050.7625,137150289.6925515,6050.76,804.79,12510.35
2018-10-01,124993.6411995054,12314.91304347826,829.8695652173913,60626.78260869565,6219.586956521739,133659176.31695305,6219.59,829.87,12314.91
2018-11-01,120330.2824370434,11239.71590909091,846.1363636363636,54962.93181818182,6195.920454545455,121172522.74788138,6195.92,846.19,11239.72
2018-12-01,119539.9373180435,10835.07894736842,790.9047619047619,55263.15789473684,6075.315789473684,121834407.94736843,6075.32,791.16,10835.08
2019-01-01,117410.3413847597,11523.09090909091,806.2173913043478,40704.54545454545,5939.102272727273,89738161.64590909,5939.1,806.77,11523.09
2019-02-01,117155.2072497673,12685.225,817.9473684210526,32100.0,6300.4875,70768386.102,6300.49,818.15,12685.23
2019-03-01,116143.3212919558,13026.27380952381,842.8095238095239,31333.33333333333,6439.464285714286,69078175.42666666,6439.46,842.81,13026.27
2019-04-01,112608.0442018642,12772.7875,886.6363636363636,33500.0,6438.3625,73854857.77,6438.36,887.29,12772.79
2019-05-01,108327.7889676546,12016.30952380952,831.8260869565217,34166.66666666667,6017.904761904762,75324606.18333335,6017.9,833.55,12016.31
2019-06-01,105147.6575770884,11943.9375,808.2,28809.0,5882.225,63512973.059580006,5882.23,808.2,11943.94
2019-07-01,98557.47690484308,13546.30434782609,843.6086956521739,27340.32608695652,5941.195652173913,60275101.32948043,5941.2,843.95,13546.3
2019-08-01,92297.52448187856,15748.64285714286,858.7727272727273,30136.57142857143,5709.440476190476,66439767.060674295,5709.44,859.14,15748.64
2019-09-01,90613.0381339729,17656.88095238095,943.904761904762,35720.42857142857,5759.25,78750064.82466573,5759.25,944.7,17656.88
2019-10-01,89768.31076106695,17046.21739130435,897.2608695652174,35263.08695652174,5757.297826086957,77741799.1553748,5757.3,897.26,17046.22
2019-11-01,85586.30509997181,15171.80952380952,901.2380952380952,35510.16666666667,5859.952380952381,78286516.67330335,5859.95,901.8,15171.81
2019-12-01,83369.60877103482,13829.425,925.2272727272727,33547.4625,6077.0625,73959494.67110176,6077.06,924.25,13829.42
2020-01-01,84515.02925086957,13506.86363636364,986.6521739130436,32213.02272727273,6031.209090909091,71017558.56311956,6031.21,987.36,13506.86
2020-02-01,84090.140102,12715.55,961.1,33542.075,5687.75,73947617.26673649,5687.75,961.1,12715.55
2020-03-01,84763.64251363635,11846.22727272727,759.0,31119.04545454545,5182.631818181818,68605751.52189907,5182.63,759.0,11846.23
2020-04-01,80179.88385136364,11804.0095,752.5454545454545,29565.0,5057.972,65179667.7603,5057.97,753.86,11804.01
2020-05-01,76716.06809857143,12179.60526315789,793.7142857142857,29562.59210526316,5239.826315789474,65174359.26109659,5239.83,790.22,12179.61
2020-06-01,72682.34472545455,12727.15227272727,820.7727272727273,29074.34090909091,5754.595454545455,64097949.62977319,5754.6,820.77,12727.15
2020-07-01,67930.88594652174,13402.30391304348,862.1739130434783,28517.02173913043,6372.460869565217,62869271.18111868,6372.46,864.64,13402.3
2020-08-01,68554.15717047619,14575.78285714286,940.2380952380952,32914.88095238095,6508.392857142857,72564891.08222619,6498.94,940.33,14537.75
2020-09-01,69236.40839954546,14857.48863636364,907.1818181818182,33482.10227272727,6704.9,73815400.03560795,6704.9,907.62,14857.49
2020-10-01,69367.46173454545,15239.36363636364,876.2727272727273,33227.875,6713.811363636364,73254924.83953251,6713.81,876.27,15239.36
2020-11-01,70408.86870095239,15807.73333333333,913.7619047619048,32238.88095238095,7068.907142857143,71074566.19110619,7068.91,911.55,15807.73
2020-12-01,71683.13575304348,16823.03857142857,1025.521739130435,31882.28571428571,7772.238095238095,70288408.26301713,7772.24,1028.0,16823.04
2021-01-01,76313.43475285714,17863.176,1089.857142857143,37883.775,7972.1475,83519427.29599051,7972.15,1090.95,17863.18
2021-02-01,79876.0632235,18584.38,1206.7,47516.45,8470.94,104755840.492099,8470.94,1206.7,18584.38
