date,lithium,nickel,platinum,cobalt,copper
2017-08-01,119918.1825591873,10889.97727272727,972.4782608695652,58465.13636363636,6485.625
2017-09-01,121812.6703788118,11215.78571428571,966.1428571428572,60128.5,6577.166666666667
2017-10-01,123644.6015980743,11335.77272727273,921.0,59905.86363636364,6807.602272727273
2017-11-01,132143.8435163116,11972.0,934.0,62118.04545454545,6826.545454545455
2017-12-01,138042.4449578921,11495.10526315789,906.8571428571428,72632.05263157895,6833.894736842105
2018-01-01,141477.9736157397,12864.875,987.891304347826,77293.52272727274,7065.852272727273
2018-02-01,143975.769873261,13595.875,988.25,80792.6,7006.525
2018-03-01,143979.278202447,13392.5,953.7272727272727,87614.90476190476,6799.178571428571
2018-04-01,144462.5660482278,13938.1,924.095238095238,90782.5,6851.5125
2018-05-01,143941.6006324498,14366.4880952381,904.304347826087,90250.0,6825.27380952381
2018-06-01,144682.2120577029,15105.65476190476,884.9047619047619,81188.09523809524,6965.857142857143
2018-07-01,136396.4919756645,13793.86363636364,832.1136363636364,70647.72727272726,6250.75
2018-08-01,131186.0037557343,13411.35227272727,804.5869565217391,63302.29545454545,6051.045454545455
2018-09-01,128398.3391524536,12510.35,803.975,62210.325,6050.7625
2018-10-01,124993.6411995054,12314.91304347826,829.8695652173913,60626.78260869565,6219.586956521739
2018-11-01,120330.2824370434,11239.71590909091,846.1363636363636,54962.93181818182,6195.920454545455
2018-12-01,119539.9373180435,10835.07894736842,790.9047619047619,55263.15789473684,6075.315789473684
2019-01-01,117410.3413847597,11523.09090909091,806.2173913043478,40704.54545454545,5939.102272727273
2019-02-01,117155.2072497673,12685.225,817.9473684210526,32100.0,6300.4875
2019-03-01,116143.3212919558,13026.27380952381,842.8095238095239,31333.33333333333,6439.464285714286
2019-04-01,112608.0442018642,12772.7875,886.6363636363636,33500.0,6438.3625
2019-05-01,108327.7889676546,12016.30952380952,831.8260869565217,34166.66666666667,6017.904761904762
2019-06-01,105147.6575770884,11943.9375,808.2,28809.0,5882.225
2019-07-01,98557.47690484308,13546.30434782609,843.6086956521739,27340.32608695652,5941.195652173913
2019-08-01,92297.52448187856,15748.64285714286,858.7727272727273,30136.57142857143,5709.440476190476
2019-09-01,90613.0381339729,17656.88095238095,943.904761904762,35720.42857142857,5759.25
2019-10-01,89768.31076106695,17046.21739130435,897.2608695652174,35263.08695652174,5757.297826086957
2019-11-01,85586.30509997181,15171.80952380952,901.2380952380952,35510.16666666667,5859.952380952381
2019-12-01,83369.60877103482,13829.425,925.2272727272727,33547.4625,6077.0625
2020-01-01,84515.02925086957,13506.86363636364,986.6521739130436,32213.02272727273,6031.209090909091
2020-02-01,84090.140102,12715.55,961.1,33542.075,5687.75
2020-03-01,84763.64251363635,11846.22727272727,759.0,31119.04545454545,5182.631818181818
2020-04-01,80179.88385136364,11804.0095,752.5454545454545,29565.0,5057.972
2020-05-01,76716.06809857143,12179.60526315789,793.7142857142857,29562.59210526316,5239.826315789474
2020-06-01,72682.34472545455,12727.15227272727,820.7727272727273,29074.34090909091,5754.595454545455
2020-07-01,67930.88594652174,13402.30391304348,862.1739130434783,28517.02173913043,6372.460869565217
2020-08-01,68554.15717047619,14575.78285714286,940.2380952380952,32914.88095238095,6508.392857142857
2020-09-01,69236.40839954546,14857.48863636364,907.1818181818182,33482.10227272727,6704.9
